47394 businesses are restaurants.
('O8S5hYJ1SMc8fA4QBtVujA', 'La Bastringue')
('JzwewXUzR3c5ggTtEE5uMg', 'Extreme Pita')
('b3RN5ZF0F23CpXM9RIL1Zw', 'Big Sky Restaurant')
('VAvlwMwFTKH19w8Tdu9kBA', "Carl's jr")
('XSKvC2PfnTAXCAxGQDhOJQ', 'Jacksons Restaurant + Bar')
('9E4ucrEyhia3pdEdLSaeyg', '2 Greek Gals')
('OYmhgXMMmFdxLRyTazl-hg', 'El Zaziummm')
('9Q5cvskhn2SXWUx62qZaEA', 'Queen City Q')
('IUe5DI53ZH2_U8B0PKJ5sw', 'Crepe Station')
('Q0fW4psOyHqGbkbF13ucqw', 'The Wing Counter')
('iPDraG9gpzlOQpQhJdPsfg', 'Mariscos Mr Shrimp')
('MfUJzgce9m-w55auRE3wJQ', "Arby's")
('Mp50uBWoZAXqSjaIZB7iow', 'Del Taco')
('Z9wnRnSvmt7PeMo69x3s4A', 'Roman Candle Pizzeria')
('I2MSzTi1Nt3g-XaxLXEIWQ', 'Sushi Newtown')
('cyzOijFJ82cae6qH6L8vuw', 'Arawan Thai Bistro and Dessert')
('HTipzqMegyxUfzlrXHvY-A', 'Cafe de Causette')
('kpZjgADHSklBk3JqcO4b4Q', 'Second Street Grill')
('Y11qtRqKVgRyZsjhXqvr2Q', 'Boardwalk Fries Burgers Shakes')
('gbWVf3a6tUailTJRvvVD4g', "Sofia's Pizza")
('dWliPaP9k43hSKGSujNFXg', 'Piccolo Restaurant')
('WwQ0sr3wDk2jCMre_3mS7A', "Big Red's Steaks")
('Q9FlD64hm1OT5GF1tAsbPw', "Arthur Treacher's Fish & Chips")
('MsZO_V3RDETHL8q7RFCljg', 'Richtree Natural Market Restaurants')
('_NtZzLahKjnS_rWGYsfuDw', "Cino's")
('Er0syvl9sbjafEwxriw5qg', 'Studio 77')
('oRcOwWXWqXwIQ0iOGHxQHg', 'Picanha Steak Truck')
('l_seNvOWzsQKkLQjDAVleA', 'Baton Rouge Restaurant')
('hCeDhb2p5L7Nkvgn7WeRCw', 'Semiramis Restaurant & Cafe')
('UVqelOc_xJwy6lfnOhiCLQ', 'Taqueria El Tizon Grill')
('nOqqYZ08pgcfLxjpxiZu9Q', 'Los Rubios Mexican Food')
('HimHm4MluzWcS-qLRccqXA', 'Sahara Pizza Restaurant')
('urkVZybwRNeOeu5vB2zUIg', 'Riz Restaurant On Bayview')
('cInZkUSckKwxCqAR7s2ETw', 'First Watch')
('7X-nlzECvzIyeU_0GnrlMw', 'Swagruhas Dosa Home')
('NRTER9T_aYV_0WDMdjQ5WA', 'Pita On the Run')
('jxSmtPAVcVoi0vPC85xz0g', 'Freshii')
('KynXf-SiyaxrnJ4w9bhfUw', 'Spice And Aroma')
('7f6umMtqYd7RExvXXcQsDg', 'Bourbon Street & Grill')
('Ik4el2F6w2QFUCnx72W3OQ', "Carl's Jr.")
('4Yf6bdaOPPz2TkA-LY91Ig', 'Sushi Shop')
('HnhlGIi4qUOt3apovg-zdQ', "Topper's Pizza")
('b5AmERAalTaMzpcwMdu4uQ', "Madelyn's")
('fX3ukB5oZe5H_4LdM4zVRw', 'Highland Fish & Chips')
('SsBi4mjcfsQJUMkyQlgg1Q', "A'Pizza Badamo")
('y6HUE8dzHU-PWZ1mkVfSnA', 'Hero Certified Burgers - Commerce Valley')
('JijwZPUuFqQqUekNR--dfw', 'Silverado Steakhouse')
('xpd4W43hUtoBYc6dzo-xBQ', 'Taqueria Durango')
('g9FvjJMMrxtxBkLk8VrWlQ', "Jo Jo's Restaurant")
('l3O2vLmVhuOmpVstrjFlww', 'KimGalbi')
('eehnof3F4vRB8ydbRvd_zA', 'Smart Burger')
('cbbhO263uK6yVsKetbJ16Q', 'Pacini Pasta & Grill Ristorante')
('JOsBOphWK14yjq7FC1zL5w', 'China A Go Go')
('-PJgh1XoQBMnnSgg6MhmMA', 'Hong Kong Chinese Cuisine')
('mZYKqiK-9fzifbFbeEbP1w', "McCormick & Schmick's Seafood & Steaks")
('F5xKTQB4lFfwtUNDeaqEgQ', 'Hookah Bookah')
('ptkUSiYeU9O-jVdxnpLxIA', 'Grande Italian Restaurant')
('3c8GQB0RiXK5ceRSpo5dow', 'Suh Noi - The Little Thaiger')
('C710slX9bTgw6cG1SgDbVw', 'Capstone Grill')
('F7tBX4pRGhWxAXr4Ld7dzQ', 'Damascino')
('0ERfOvixhhNKPk3lm70P_w', 'Mimo Restaurant')
('hFZX4EKI77iLYRjMb4kN7g', 'Kien Giang Food 2 Go')
('HsnvFqiCKWJW3CR6Bc9WEA', 'Pizza Giovan')
('H8LOyk0fGXbb0cg5ZotDxQ', 'Ros & Lina')
('Qg6JmG0EDCQ6-EE9Wufh3g', 'Square Bistro')
('ZgrKt3GU8vYyeE7pqSUkkQ', 'Wild Horse Cafe')
('ZV7t55UEx1LnBOWqTrutSw', 'EVOO')
('IhZt04x4GehjOPhIfuecwA', "Harry's Supper Club")
('xNK43KL8NRnoN9azyyrJ6A', 'Tangerine Asian Cuisine')
('Nnr0kZIVlW5sWInOJW9LMQ', 'Donlands Garden Chinese Restaurant')
('sPtBFklthW_Eq-SAAp068w', 'Zizo Cafe')
('1Xmc0LbrW9KJ4EvBia_B_g', "Nick's Bistro and Grille")
('x-hm5s-hYAiebmoDdDYrYw', 'Samadhi Tea House')
('qQvHYQ1uocuEnFcUdhxV_g', 'The Pub Chip Shop')
('R30ah7G5ZD0pBAUEh3hltg', 'Dairy Queen Pickering')
('mRv3Z25F56qduMKnvnCkVA', 'Kokoya')
('Orui3Cu-dQKOz1I0lKYEAg', 'Sumo Sushi')
('ccdcyzc1oSucd-qRlnYR0w', 'New China Inn')
('T7YqBNASs4gNUsooLzzbuw', "Christopher's Fermier Brasserie & Paola's Wine Bar")
('vPGJNYFslfCOhNd31oWmbQ', 'Chez Togo')
('fTtkz2RhWNAp6jKiIzXf_A', "Capriotti's Sandwich Shop")
('KxqE9n2i21ol9DiCv8iknA', "Burton's BBQ")
('tX1fI1TgkvPQNYvwABea0w', 'Bubble Republic Tea House')
('Y5c9_Inq1uunA96AB-8dVQ', 'Thmor Da')
('tvhcshPITUGa_ffUlU-BHA', "Carrabba's Italian Grill")
('XDYCIRENiT2doRZgwNJ3SA', "Pepe's Tacos")
('sm0stXMEmnR4fjAAVbCYtw', 'Two Hippies Gnarly Burger Joint')
('LjCrhp_Rys2bCIJHz5EGBA', 'Golden Coin')
('SCr8FlbHDcAe3F_QpATyfw', 'Restaurant Europa')
('8igSEuGdCMLFrwwXgU38kg', "Lee's Wok")
('1ZnVfS-qP19upP_fwOhZsA', 'Big Wong Restaurant')
('sGLFQ4xLg9gJADTwkCI0mQ', "Lampert's Fine Meats and Deli")
('nekpzd-Nsg7ZsCAIHUkhmw', 'Antojitos Mexican Restaurant')
('oM4nwtYDw5Ml-hrJdgv8TA', 'Rawlicious')
('5jHovxqN6N64Q0uKPsEsZw', 'Pasta Tutti Giorni')
('lF5m5NQePUtZidiRzNOVNQ', 'Falafel Queen')
('Z1etKi_kBsMr3oGolRrGaA', 'Sauce Pot')
('iYF5pOkwltgKUWIzDNKx7Q', 'Cook Out')
('WlINkrwGmUzyR-hoG-pIlw', 'Basso Pizzeria')
('D4ETxxeNQEnSw_e1H46DXQ', 'Monga Fried Chicken')
('zSZgK7UtuQQLCSEYTeADUg', 'Laksa')
('7JR42RkKub9bsBSeXfAjew', 'China King Restaurant')
('JrfBjcUJBYwMLPpP8oL48A', 'Mocha Mocha')
('YfeTH4jtz_gpWz0QRYJFnQ', 'Sugar Marmalade')
('Dj4AepxMBS-5DUvPegSb2g', 'Gorditas Lily')
('vLGYQ96AjKV5zpW0q3795g', 'Sbarro Restaurant')
('TjKE1Ji-XAdYDlxYMKvZAw', 'Krispy Krunchy Chicken')
('g4g8WoBCDwP5Qhy9gnbeiQ', "Montana's BBQ & Bar")
('Xk0H_s_DNo9bsmHFAXjNqA', 'Il Bun Ji Sushi House')
('rEa4g6c2EJr2UvZe0hVegQ', 'Viet Kong')
('cPzIic1AqH1ApTVVaww5hw', 'Aji Sai')
('7xzXN9yikWnb9NWcxw2OfA', 'Bibab Express')
('4nLqlBBt6jcvphkIQxz0gQ', "Romano's Macaroni Grill")
('RQ_sx6lNGVjSTtasK3wlQg', 'Uncle Joes Family Restaurant')
('oz3qUheIcLrafydpAEK8AQ', "Wendy's")
('2QzGh0UPJVbjtRlujmBXpw', "Le P'tit Plateau")
('U7qvifH4kTy_Ct2dqb3KSg', 'Taco Bell')
('ZAgCOKEmjR_lqnN2OSB4pQ', 'Lake Affect Comfort Food & Music Lounge')
('tzUwZKhtDX7QixvXex-wZw', "Big Jim's Roadhouse")
('xUEoAG8qto7HXQnEqMcuuA', 'Cheeburger Cheeburger')
('kfTvilKjXhD_0GmlmKdW_A', "Wendy's")
('bAdwf-n52f46-ZjlfJ1Hwg', "Roberto's Taco Shop")
('ZspvlO5Dvtd517YhVLJJ_A', 'Tomo Sushi & Hibachi')
('6ugDF5tRRX5l3Q5vrdkprg', 'Burger King')
('p_vUkVJR2LB5i2mfgLS-QA', 'Espace La Fontaine')
('RYzJr_ZeSCLaAW6TBR86zQ', 'Del Taco')
('dDZAuGEDa_yBlNVTqC6CdQ', 'Ikemen Ramen Bar')
('nSjOYQsI7FTw9dxIVB1NxQ', 'Noodle Queen')
('WZDQqw960DaMWDyPbtRFtA', 'Dancing Crab Thai Noodle House')
('LRHlcXcNERVsekrngMLphA', 'Pittzarella')
('zopmNIqqb_NSPqgVT8ygtg', 'Sanctum')
('L6uLN1hGa7cTWtZ3VfB-HA', 'Subway')
('SZbn2cSLGsAmvliMzsvXOw', 'Popeyes Louisiana Kitchen')
('13-n6Gm0AK0QK28iatttWQ', 'Laurel Market')
('ouggJ9u7HJgP4zxeJjG5vg', 'Made in Japan Teriyaki Experience')
('U1_89WxlRg9DjhCDyF368A', "President's Pizza")
('EEUUONGguo8POLMxmHZ4UA', 'Grigio')
('7JjK3VpccdstvLWBr87lLw', 'Summit Diner')
('D8PegUiJu36ccPwg6Xp9kw', 'Duck Donuts')
('YKHCSOBLCHpb5K6GgaabCQ', 'Panda Express')
('oTaU3tZxtKzCwrPcx6SpoQ', 'Taste Good B-B-Q')
('4asr35mgBPLpNH4NCFPEhg', "Domino's Pizza")
('ffKC05KiJWMB1ppjOYs9Hg', 'Asiatique Thai Bistro')
('6AGOQWpaZ0inrOpO1WS4Gg', 'Live Cuisine Restaurant')
('7UxTPaoqbbd-ZKc_7gbMow', 'JPs Indian Bistro')
('hTZGMEKTtaY0wwB-czFxxA', 'Sushi Too')
('y1Bf_dA_FUggDqYoFSdGfQ', 'Sonic Drive-In')
('9lH0gzlZB_uXJ1dc9UkF5w', 'Texas Roadhouse')
('ZcO6xKyETimcLjAkDiLQPQ', 'Manhattans Hand-Made Burgers')
('kWeggWMMkFRF7qoW_zSpgQ', 'North and South Seafood & Smokehouse')
('gbGUY95NnK-UcbEQY9dIMw', "McDonald's")
('ag8gM2YKZkjndCvl2ti7kQ', 'Chinese Dumpling House')
('KalAJyO0Zpg3K1wVwYXBHA', 'Marché Bacchus')
('J5U-nbhKSnnX7DJGT6QELg', "The Apple Dumplin'")
('tiFevYR9YxQAOHmLhQBsSg', 'King David Pizza')
('gcf4gxFDSGJ5Rf-F40y3-g', "Italiano's Pizzaria")
('9cYYusmNE0qdfT7pqfdc5w', "McDonald's")
('UEMChvOORAC-CWTzyTek8w', 'Sweets From The Earth')
('JVzuemMrNWGlhTX1XNzSfg', 'Chimichanga Mexican Grill & Tequila Bar')
('AztVIokc5VtP4m8r6kSnWw', 'Subway')
('_1qJqLzrgKSwcL0-wizidA', "Stevenson's Bar")
('7sz9Rw1dbIEfLy-L9qB3Tw', 'Chopstick Chinese Restaurant')
('MNIo7-VytIE7INkc83GmXg', 'Popeyes Louisiana Kitchen')
('GGvjkKM74UnOh2NyvwTLZQ', 'Jjanga Fusion Pocha')
('u22akZ9o7DPQ3En_9AQ1lg', 'Revo Pizzabar')
('4A_KR6E3ziZvuNVruEJ2lA', 'Baja Fresh Express')
('Dvmwg8kILj2ZIZ7xRKNt-w', 'Chinese Burger')
('_zcM__-4oEMi4aEGyLNIuQ', 'Naomi')
('rdaRbvFLFtArULWdEA-K-A', 'La Saigonaise')
('BLgwFGqvAIiG9J2ID47YyA', 'Beijing Hot Pot Restaurant')
('mMfoHvCxT0_opksAfd9tVw', 'Restaurant Sakura Chi')
('tcnGHnLRyDmKviWLNFfGcA', "Long John Silver's")
('vgOzBujwf-bnvlG03WHBvA', 'Subway')
('uAyXrnFaXw2FBiYnmncDuw', "Famous Dave's")
('Yk8pVAMl2U-NqY7Fj7zbdA', 'Crepes and Bakes')
('Ch-gb1W9g1zZyuPXpSBq0g', 'The Whole Plate')
('6N9NClBpOi-GoWckg137NQ', 'Red Dragon Chinese Food')
('W72t6xTko3RBwRHP2mNXig', "Cocono's")
('ZSHVccYO2pIYpysZZLapaw', 'Polka European Deli')
('E_tvJL3lfmCTWAcq2js8Kw', 'A Touch of Italy')
('slc54YlLNLVx-fRvoSqw4w', 'Tim Hortons')
('K6eK4nCFDx1p5akiRPwfew', 'Vocelli Pizza')
('7U7KkQyUIxUCcfCso4HP1g', 'Pizza Hut')
('usRJtfQdy0NtjWb7Ayvmsw', 'Panda Express')
('rP276zPugi0mznyj49TpIw', 'Kokuryo')
('Sovgwq-E-n6wLqNh3X_rXg', 'Lindo Michoacan')
('q7jC-6uH7IieKu8PcT2gBA', 'China House Chinese Restaurant')
('QmNrHxN7UahtdliH_kAuUg', 'Ka Mei')
('jk2XQVrZNLV0Puh1PilNaQ', 'Tropical Smoothie Cafe')
('AUHE34cfldI7SdKXguqXIg', "Wendy's Richmond Hill")
('aqA2ePlmNbkz_pok9brhcQ', 'Taco Bell')
('MEoDTsA3Af6TLzB7Z_7oDw', 'Zushi Sushi')
('L7rjzj2g2EEbHfee9V-X2Q', "Samurai Sam's")
('9MfAMuc_f_dxqRgOxmF7ow', 'Five Guys Burgers and Fries')
('cFxGP_IC4REtJspMNQ3vLg', 'City Bar')
('3LTP2zkDyde28b3nySstbw', 'NÜVÜ')
('h_xy5XuOiKqk-6OpQTGJvQ', "Aunty's Recipe")
('ryhFIQc4NbAZIfq3JUvf1Q', 'CCs Sweet Potato Pies')
('lvOOJmJ4y0BLi31Muq3a8w', 'Flips Restaurant')
('LRyJquzweF4oMgJhkvwL5Q', 'Press Coffee')
('DXuawA-g_qtK4S9OAlVgaQ', 'Subway')
('4DLsC4BTUoEqFGusetQVlQ', 'La Carnita')
('cs1qJvnWUg_f8g020z_3PQ', 'Pizzeria Bianco')
('0i95sgY7pzYW9k88SOVJ8A', 'Cork & Cleaver Social Kitchen')
('uMesmY4M3Nx6I4WLI1p1IQ', "Moe's Southwest Grill")
('n3VKDpNlYr5vVEzHmUOE1w', 'Nirvana Pizza')
('PYRjVUmJgctHVRnBVXpBEw', 'La Riviera Marisqueria')
('QbwhNAB0Byl2LcUVGRWcEQ', 'Café Jamocha')
('iZtv9s9lBA6DviQ2Mbm-SA', 'Mumbai Sapphire')
('fz8wgxbKnwa_fdk_W5M4Ow', 'El Amigo')
('5K1MooOvs4A9VXnykGP3UA', 'Stock Restaurant Bar & Lounge')
('QemTyuZdtyf0u1NeNHPK7A', 'Mr. Hero')
('0vkRt9v0gIodsRtunw9wgQ', "Teddy's Pizza")
('5RgKxelhsAfb4ts8TBdJPQ', 'St-Viateur Bagel & Café DDO')
('8-4bSRRiD4ObiJ5UqxqNiA', 'Allegro Fine Foods')
('8xCiibfgqy-8xpCWEaguqg', 'The Keg Steakhouse + Bar - Place Ville Marie')
('mZde8M2gs5popxzKOvCo5w', 'South China Wok Restaurant')
('qWSwDbtJRBvKTiMpH3rNLQ', 'Deejai Thai')
('oCwJdiYhZS8VM5_LgmQP0g', 'Arriba Mexican Grill')
('YhfXd8VmcmCo_4ea_wqgLQ', 'Maison Indian Curry')
('7i0h6EMWLMp2GHHrv8u2eQ', "Lick's Homeburgers & Ice Cream")
('IY8vqMRhDrQLGh_9XV7KPQ', 'Phoenix Pho Vietnamese Restaurant')
('B_Zi_3inMGSxN_HEKssmng', "Arthur Treacher's")
('mcC1MqX2bhvTv4pEuLdlpw', 'Ma Tante Quiche')
('lTxZFiWEd2NNF4Eh7_mlRg', "Kassab's")
('NWjJK9c5YOQSbMX_bw24sA', 'Crab & Mermaid')
('1d-bskPWu2zKZSEa2-4kfA', 'The Hot Dog Diner')
('GnODIDJz09LecpudDoynCg', 'Greenbush Bar')
('G4XcXQhdS9Pt39bVDdfVCg', "McDonald's")
('Nf9YGbWIwNMEv41J52g3tQ', 'Comptoir Lyonnais')
('yefjEAyoNfHj43tz_5hhHQ', 'Phoenix Noodle House')
('sktYwQ-votTQ43po3t6AMg', "Arby's")
('5AuwZcLcGIpe1yhSKgSwlw', 'Phu Thanh')
('-eFgzQuE3mKYuegdC2bhAQ', 'McDonalds')
('4EjZovngO6Ys0MKCSC6NwA', 'HVOR')
('ZJufvkLNtlAsQU9h_ttdNg', 'Chinatown')
('QciuUWpJwzRA52RV5YnxzA', "Panini's Bar & Grill")
('tM3_qi6tETRKK4viHcAvEA', 'Thai Express')
('0cCPUHqMTGBMp9UrhAn-Jg', 'Café Le Spot')
('DZw9bQJRZozooKspKZAKxQ', 'Nagoya Sushi')
('3aJn9wNuNON0wZJz-S8yyQ', 'Tim Hortons')
('Ucsy6LjBYsfVwuGlSlfJog', "Steak 'n Shake")
('GzF4lVSh61sayvwVMp8RmA', 'Swiss Chalet Rotisserie & Grill')
('ydUcrV6-EkgynfAe4nkgHw', 'El Campesino Mexican Restaurant')
('W7KtVjq4R_5F5EwbCBENQw', 'Golden Kitchen')
('OI26IHZ602lTwWgfVqJlpg', 'Restaurant Seingalt (Le)')
('w1dxpzzh5I3oo2vaICgdig', 'Tacos Al Carbon')
('fE9lClW0RtceRnlPsATZww', "Carmine's Little Italy Pizza & Pasta")
('1cva8o5XPlSQS2AEjm0pvg', 'Sano Sushi')
('xLeOANU-lqtDOIV6Owm3EQ', 'Mas Amigos Truck')
('BzgeGVOPetKDcgv9FCbpkw', 'Panda Express')
('L1XHTn7S-6har9UGAPjcWQ', "Papa Chang's Tea Bistro")
('pldfvm-zM2VU5m9a-j9cMQ', 'Hazelnuts Creperie')
('QHe9ZMcryK0tcJu1Eyylsw', 'JP Charlotte at Westin')
('USYuX1n1ySv5kd3Fjs-efw', "Angelina's Pizzeria")
('eoBeah3ZXruU1E5Fs1nSaQ', 'Amore Patisserie')
('HnFZtiZvFPZ9RRZE4z7gEg', 'Mozzarella')
('0LychbW6BeGTntPLw_WMvg', 'Sarko Georgian Restaurant')
('PjpkK-BEMOuAxrmqFVxg5A', 'Puzzlers Restaurant & Lounge')
('bgzMrz4qzEfJ7qqNthcveA', 'Ortolan')
('UDJXVnupQ-SHdwSc49KwKw', 'Pizzaville')
('tyKW94szLfysxvgjzgCCTw', 'Café Lali')
('PelhNV5WsvEJjhUShubLvQ', 'La Mexicana Bakery & Deli')
('HUJ8GgKw4IeWQlfo4rTc2g', 'ROQ')
('phndcbS62E6emuRZDJmoQw', 'Hoover Dam Cafe')
('Q9is4jcGh5FT_1sAKilu6g', "Jewel's Bakery and Cafe")
('RUyjVV3N51cGGAEKZ4Fn1A', 'Continental Grand Buffet')
('ax4ztJvW28xgGvI0OPqGcQ', 'New City Restaurant')
('3RiFtEJ6AAvS0x_z38HChw', 'Pita Pit')
('HU7yPtYVgStoZl6t40wdHg', 'Subway')
('04Iq42i8lm50Lvdj1j3DCQ', 'Gretalian')
('1V-mRUpVnIRq6GYymT_uyw', "Braddah's Island Style")
('1WmrBqFd0ZcbuYTOlbHsig', 'Gyro Bar!')
('tRrj81mQSHU4y6pWNTss-A', 'Los Planes Gourmet')
('Cgkcz9XbvZsMm54vKTS_cg', 'York Crossing Restaurant')
('XaRLRVEAOwxQjgF1_iU_jQ', 'Pierogi Cafe')
('y-Jp4iSIMDJE4JzGBh7M-g', 'Noodlebox')
('orrrhqRRUORIzUSxWTveKg', "Presti's Bakery")
('-mey4Ng682_5zsZUwNnFWg', 'Bola Thai')
('yK3cRaLOlLYFsc3eD-hOiQ', 'Tabaq Restaurant')
('-0KMvRFwDWdVBeTpT11iHw', 'Pizza Nova')
('Po2w9fN7vV-2U21uarHkyA', 'Cocelli Pizza')
('GaP5KfdlDuNasKgTNR8Saw', "Wendy's")
('7IOt1SahnsyuMwTcuZgFLQ', 'Melt Grilled Cheese')
('qQMvHvHnVIEHaOSxTEIu9A', 'The Hilltop')
('XFFVjs-maXVezjQF6KoKjg', "Hillbilly's BBQ & Steaks")
('yB2brwHDNOwaeazrq_dHLA', 'Golden Griddle')
('1uAYx8wgiRXNB_I9g1n8eQ', 'Red Cranberries Restaurant')
('pRfIJ6zurjEsWmJheDOP6A', 'Pan Asia')
('vDEf2V-bvRLtwAh2nfkebQ', "Picazzo's Gourmet Pizza")
('DYGCzsHi7pT4AAe8kh5Dug', 'Chipotle Mexican Grill')
('YGH_JV6EWnUX9V1SO-zajg', 'Nana Sushi')
('4rSHsXO4ozQoD0hoPCDatQ', 'China Express')
('U2a9GUewP6LyOilaQhue9g', 'Rock Store Bar-B-Q')
('FcCUyrq-ZdcRl_h-k9-CYA', 'Earls Kitchen + Bar')
('xI254ZbeP8pVdaqikbsD5w', 'La Cochinchine')
('tar4yEwxseY25CVcM82hxg', 'Freedom Family Restaurant')
('hqAmmu4_vMGFSZwGauMAUg', 'Arctic Avenue')
('P7Dqa0IbcFgRZ1aK7CPAOw', "McDonald's")
('fl-K_oLD_I5J6h-gLL7FkQ', 'Checkers')
('c3Hu9D3cjeASAEekoujUsQ', "Beckham's B&M Bar-B-Que")
('ls_H8-5CuhtcEUwfPdjy8g', 'Mad Pita Express')
('-Z358O0-8eH0sgSjKINvMA', 'BarBurrito - Dufferin Mall')
('hmSRCzL7OHm-TKR4jHzdBg', 'Homeville Trolley Stop')
('jvwzhzA9vsfJHCdlbLkHZw', 'Little Shanghai')
('H_8tda1KzcDk0McgJ8_isw', 'Palomino')
('Cs8BaiKkyNU6mzxq9nTsmg', 'Congee Queen')
('gTHo2aGgiG-jqy-_C2OhSg', 'Sol Tapatio')
('sw0qwXeGfKEw13xUfRPm2A', 'Sai India Curry')
('3QcTqsdxQBlSndBdMJBRhQ', 'Freedom Beat')
('zpaXQga1MIqPc5nAWZXtdQ', 'Shangri-La Chinese Cuisine')
('_8mBVtt6yhkS0YtT1FGBNg', 'Nekter Juice Bar')
('ZZbaD-DKkILA_FvliElciw', 'Chuck E. Cheese')
('n6u8lDrWBYkis8EQTwgOyA', "Serrano's Mexican Grill")
('BxKxFHXG4B2h1MXK8ebHZQ', 'Virtù')
('zZCbnAOM8YJ_5hN3N4IiyQ', 'Burger King')
('dpcGWwukG1bW4lUhbxhviA', 'WingBurger')
('PgaHjsWV3whvHF1CHU1rZg', 'King Wah')
('M0pkmBUi_CI0qrzN7ee80Q', "Amélie's French Bakery & Café")
('ruH7MFlSuDua1SuxupNgMw', 'The Deli at Eastside Cannery')
('0mnnlFCploePlnEaddw63g', "Aurelio's Pizza")
('3_SYsOndct45zith-1D-ZA', 'Jardin Iwaki')
('FZBOSc21Z4lExHuBuw25Jg', 'Lobster House')
('Ae-eZJr2njTu9XOPOF8z2Q', 'Hei Xiao Mian')
('2LOTz08OPRyA0ibJImJRbQ', 'Impasto')
('ZaIzVnhaV0ZBSoEwz8Rbvg', 'Citizen Espresso Bar')
('xFuyA5is_lLo28-fTUQjPA', 'Del Taco')
('rKBZdPOd-IkRykaeQ56Ngw', 'Thai Buffet & American Sandwiches')
('821Xtr_wwXqDc_ljjy5p6w', 'Pizza Hut')
('wvlF1x7Cm8UGu6iD0LgIJw', "Salsarita's Fresh Mexican Grill")
('sghUmnrVFGxvldZQT-mtyg', 'Cicis')
('4etFlEdWOTx3WhFldxW6XA', 'Yunnan Steamed Fish Pot')
('LCFyS6XdPR0BNgmjT5M_dw', 'Hoot & Howl')
('B4ZuEVKHnr2blYg-QiGOkw', 'Pei Wei')
('I_-49_q-5ODmUqhXBGEXQQ', 'Red House')
('Gz5t446J6doN6p2LE-nf-w', 'Double Pizza')
('ExoqgA3aAz6bYidI0DSQvw', 'California Sandwiches')
('BjLXhrKdB3I3f3ODy0INRw', 'CENTRAL BY MICHEL RICHARD')
('nDKcQkh8vZkY_u1kyww44g', 'Valentino')
('Vw4m_3DyDQgMPU8ouj86ZQ', 'Tokyo Express')
('gKXfXcm3skSm0eVFVblvNg', 'Subway')
('JeRSD160z-pRRdfwfz5jyg', 'Nonya')
('Dsn3yf1b3n2DM5eZISLisw', 'Dōca Restaurant')
('1nTMWMa6v-eBKkPYA3gxkQ', '99 Cent Sushi')
('o99TYf1ZOVM1j9gWw9vclA', 'Maestro SVP')
('u-SJ5QUwrNquL9VnXwl8cg', 'Postino Arcadia')
('9q_O836mXia6Lqkirl2Ynw', 'Little Caesar')
('WIvzaGdl-leuDb5TNtiNFg', "Senor Miguel's")
('m38_eIvoBs8QSCk3hniEdg', 'Panera Bread')
('bjbegGikWzSgeVsOJdE22g', 'Chili Peppers')
('47y08rotkJr5gYMgG5IvTA', 'Café International')
('3uvnTtcsz0OxU4m5hOppCQ', 'Pizza Pizza')
('NH8_LT1za4P88s6GG4hHng', 'Golden Pizza')
('sUAJOwb1yFaSDreFADEO5Q', "Nunthaporn's Thai Cuisine")
('mLM4dYD0WgFaJt4qn2xcww', 'Bristol Chai')
('X4w6_iAqN8ZqZ15a7YWPgw', 'Mr Brews Taphouse')
('Ap9sPUi1p8Cf20kL_-Wzpg', 'Rolopan Crepes')
('NI_4CRkYsvPTh_FvC35F-Q', 'Little Honey Tea Shop')
('HESQNQe96hb6heem0ji0xQ', '168 Sushi Japan Buffet')
('83Vim9NHp66yLPPVlCl5Iw', 'Restaurant Pino')
('7mEOaifDP-1eGu_7KgsiaA', 'Ido Cafe')
('79bmvOX5mcxKx4B8TRj4sg', 'Ogo Sushi')
('Tvn-aLhAmHulTQGE_e4XuQ', 'Fatburger')
('Rp8vgph2CKpQ24Faj00EgA', 'Sweet Union Brewing Company')
('8nFp0kbsJJXMIaWx1lO2gw', 'Toppings')
('hva9xs-MtXnzykZ4ZP0n6w', 'Mama Maria Family Restaurant')
('oKCzSZV0JkKsJenyaEfk4w', 'Golden Pineapple Viet Thai Cuisine')
('EWmwbOm_4UhOtvLaBzHpPA', 'Fresh Off The Boat')
('8ltZ8Q8lJKrHaXIRvYO7hA', 'Bubba Phatz BBQ')
('PDWdGtneKVgYSaRSP96_EQ', 'Rôtisserie Ebal')
('m7a1SG9yXes6Ir_ULzjWKA', 'Wok Box')
('oSI3qAZI_zhd91twB-ivqA', 'Tutti Santi by Nina')
('7jOPbfLlwjFgVFrGetZEUQ', 'IPho Vietnamese Cuisine')
('3MNIAr6j3GewojjUvO7nDA', 'Porcello Cantina')
('HTZ5flpShCjnNA5XdtAVhQ', "Chili Verde's")
('iFeMMBEXgRwb9HtVSAkdHg', 'Dos Coronas - Sagamore Hills')
('Y0iufYcuEBl6DCOglptphw', 'Restaurant Cinq Epices')
('XR5qi2za2rycTz9388N8yg', 'Dagwoods Sandwichs Et Salades')
('DGeupkmvo1X1oKn-sv9UQA', "Kelly O's Diner")
('2rxDV2vvF1oeujWPdnpUhg', 'Landing Noodles')
('PXJkqZGaC5qxhJTVQodN_w', "Harry's Steakhouse & Banquet Center")
('zdA5QO2gwdaEk5__innayw', 'Senor Sushi')
('B-pELAaG6vPfa3eQAUk98A', 'Sushi Stop Udon & Grill')
('CB8HrynUWR4Odnj-XTY-Ew', 'Kookminhakgyo')
